Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Guatemala,GTM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,22.1049334038056,20.0164947923067,19.2143274955671,21.3826647562342,20.6926966242416,23.9172071636267,22.4939459874726,24.2612615996527,34.9388574093025,36.1483173640737,37.6624981999588,38.7414172351806,36.5016659161851,40.7299655235998,37.9464715886203,35.7260886495098,31.6397645810293,33.7787365045357,34.6353383082272,33.5722085003889,32.6944914105862,33.1632411607797,33.7967857882211,32.4627130452781,31.9184356164667,31.35324008928,27.1503477294032,..
Guatemala,GTM,GNI (constant 2015 US$),NY.GNP.MKTP.KD,30943432320.632,32329691305.6298,34083929027.2668,35332593715.4618,36625035374.3566,37736394945.6439,38749239813.3713,39780905638.9712,40924962247.0109,42241742072.0686,44293603264.5939,46997438626.8136,48973742646.7764,49028917947.1457,50145876466.5267,52091503977.9383,54038863528.2696,55886495820.7561,58193663364.6093,60699664551.0048,62463579946.939,64429741537.1863,66667181843.5524,69495768431.5264,68243549852.9707,73259450689.2255,76681243124.4841,79570377063.3583
Guatemala,GTM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,9.78074714066667,10.1133794896687,12.0042800609122,11.7896018145724,12.4792217415699,9.97522184960353,13.7200804453513,14.3373541177689,15.6679902798352,13.8021067634893,14.3580389971663,14.455074545749,11.6047357007847,12.7991414663101,11.6471590114794,11.1288429000036,11.5585432623844,11.5997046198082,11.7710154603015,13.5751922075465,14.8239445642748,14.7843429555029,14.6662991562332,16.6716904294331,18.5258898131227,18.9504482792805,17.8174902987145,19.4962584773818
Guatemala,GTM,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,9.92633491495316,10.2509225830286,12.1190630174369,11.9227024732453,12.6163155988182,10.0211923351344,13.9371193854946,14.5517290757697,15.9453413077602,14.0566464013125,14.6941668658414,14.8273046036753,11.7990176436608,13.0556036419602,11.950862219037,11.4471084312044,11.802475123611,11.8766967294151,12.0880083346104,13.9076185582294,15.1508700536704,15.1006928241221,14.9730376631225,16.9806322611281,18.8666531911597,19.4304977196191,18.1975709215438,19.8548542925568
Guatemala,GTM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-2.87722315607179,-3.56098407112146,-5.35743048114143,-5.60037620030961,-5.44146333041507,-6.80733057120201,-6.04021558283227,-4.81631890533673,-4.93864901451057,-4.63346885034308,-5.12367991314268,-5.31937540284176,-4.03483780515022,0.194641494950958,-1.88548550474234,-3.37024214653633,-3.72480170275582,-4.22439861083835,-3.30032026304924,-1.24431009342642,0.964776433206893,1.19614112500964,0.885829177236282,2.36029059992479,5.04131134881773,2.18604717106608,1.25183056596165,3.0942245901666
Guatemala,GTM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,11.2418328744629,11.3452176738095,11.2801678443371,13.4701885924417,16.9838230125753,20.2690233179284,18.692477319178,21.0384409661569,22.1444573926966,21.6021201382389,22.2347729614565,21.986997531652,20.383408037295,23.3939731993278,24.8169594138567,24.5639597782709,24.7007424112068,25.2099495623048,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.0495125,6.06526916666667,6.39465333333334,7.38561,7.76315916666667,7.8585925,7.821645,7.94084666666667,7.94649583333333,7.63394416666667,7.60263083333333,7.67330416666667,7.56002833333333,8.16155541666667,8.05777083333333,7.78541833333334,7.83360541666667,7.85681375,7.73223333333333,7.654815,7.59993708333333,7.34793875,7.51916458333333,7.69669833333333,7.72165,7.73438833333333,7.74824375,7.83197416666667
Guatemala,GTM,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.490595256545279,3.54917970403487,6.94130368276462,5.04738067531559,-4.08835554722306,-5.088199966054,-4.97449876130187,0.0903239703402523,1.36317570702825,2.01617500337249,2.13587522888421,2.55959192771149,1.89952208705823,1.34627822535543,2.71030706792051,1.87038244023626,2.82256297187213,2.87216145071537,2.4330214271829,1.93508800636056,1.28045871307284,1.39328983248607,1.25790048523713,1.51707101923107,1.29230389075701,4.19335494437948,1.5163284242494,1.51570449818146
Guatemala,GTM,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0522914574746298,3.07475656969761,3.47245638441801,4.20342106856263,-5.28023094705387,-7.56319436968897,-5.51556621531599,-0.516864457204534,0.2824751153954,0.260609287472963,0.280726556920875,0.415576203347013,0.0280822474737684,0.0229059043221565,1.21564221762193,-0.56065443901872,0.350011950646217,0.138282422990042,0.034247264712801,0.249674988604328,-0.180515770176711,0.0897757568158955,0.194008946369939,0.485241085537103,0.285322579386558,0.740962520233596,0.764726557162818,0.633714576902311
Guatemala,GTM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,22.7667131917867,21.5615722204279,26.6544081298562,26.6308452510316,25.7664440515198,28.8284931279669,28.6410259515017,27.7613592965688,25.7563600648175,24.2180601037473,23.9639376614018,32.1720830379679,33.1309422206307,33.4961520638742,35.2622063576515,35.7028493109234,35.1676363647662,35.0489023345193,34.0772330115113,35.8507295265174,35.6518755340369,36.5990201603608,37.1030190129497
